Classification,Year,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Partner Code,Partner,Commodity Code,Commodity,Trade Value (US$),Flag
H5,2017,1,Import,842,USA,156,China,1,Animals; live,36327640,4
H5,2017,2,Export,842,USA,156,China,1,Animals; live,16729257,4
H5,2017,3,Re-Export,842,USA,156,China,1,Animals; live,179614,0
H5,2017,1,Import,842,USA,156,China,2,Meat and edible meat offal,16583287,4
H5,2017,2,Export,842,USA,156,China,2,Meat and edible meat offal,521899634,0
H5,2017,1,Import,842,USA,156,China,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",2029229420,4
H5,2017,2,Export,842,USA,156,China,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1235589412,4
H5,2017,3,Re-Export,842,USA,156,China,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",4952891,0
H5,2017,1,Import,842,USA,156,China,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",12722934,4
H5,2017,2,Export,842,USA,156,China,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",409038171,4
H5,2017,3,Re-Export,842,USA,156,China,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",63784,0
H5,2017,1,Import,842,USA,156,China,5,Animal originated products; not elsewhere specified or included,457724953,4
H5,2017,2,Export,842,USA,156,China,5,Animal originated products; not elsewhere specified or included,269390023,4
H5,2017,3,Re-Export,842,USA,156,China,5,Animal originated products; not elsewhere specified or included,9107137,0
H5,2017,1,Import,842,USA,156,China,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",57875106,4
H5,2017,2,Export,842,USA,156,China,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",4476338,4
H5,2017,3,Re-Export,842,USA,156,China,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",3711,0
H5,2017,1,Import,842,USA,156,China,7,Vegetables and certain roots and tubers; edible,478679136,4
H5,2017,2,Export,842,USA,156,China,7,Vegetables and certain roots and tubers; edible,47574169,0
H5,2017,3,Re-Export,842,USA,156,China,7,Vegetables and certain roots and tubers; edible,2298875,0
H5,2017,1,Import,842,USA,156,China,8,"Fruit and nuts, edible; peel of citrus fruit or melons",158782850,4
H5,2017,2,Export,842,USA,156,China,8,"Fruit and nuts, edible; peel of citrus fruit or melons",488468993,0
H5,2017,3,Re-Export,842,USA,156,China,8,"Fruit and nuts, edible; peel of citrus fruit or melons",2927631,0
H5,2017,1,Import,842,USA,156,China,9,"Coffee, tea, mate and spices",297455641,4
H5,2017,2,Export,842,USA,156,China,9,"Coffee, tea, mate and spices",22197144,0
H5,2017,3,Re-Export,842,USA,156,China,9,"Coffee, tea, mate and spices",2545526,0
H5,2017,1,Import,842,USA,156,China,10,Cereals,11744807,4
H5,2017,2,Export,842,USA,156,China,10,Cereals,1348961712,4
H5,2017,3,Re-Export,842,USA,156,China,10,Cereals,22491,0
H5,2017,1,Import,842,USA,156,China,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",49926737,4
H5,2017,2,Export,842,USA,156,China,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",9737492,0
H5,2017,3,Re-Export,842,USA,156,China,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",266570,0
H5,2017,1,Import,842,USA,156,China,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",272996594,4
H5,2017,2,Export,842,USA,156,China,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",12868864649,4
H5,2017,3,Re-Export,842,USA,156,China,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",14474583,0
H5,2017,1,Import,842,USA,156,China,13,"Lac; gums, resins and other vegetable saps and extracts",240858313,4
H5,2017,2,Export,842,USA,156,China,13,"Lac; gums, resins and other vegetable saps and extracts",39078620,0
H5,2017,3,Re-Export,842,USA,156,China,13,"Lac; gums, resins and other vegetable saps and extracts",3105617,0
H5,2017,1,Import,842,USA,156,China,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,31248859,4
H5,2017,2,Export,842,USA,156,China,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,5432342,4
H5,2017,3,Re-Export,842,USA,156,China,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,14816,0
H5,2017,1,Import,842,USA,156,China,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,55401450,4
H5,2017,2,Export,842,USA,156,China,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,64957920,0
H5,2017,3,Re-Export,842,USA,156,China,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,2268982,0
H5,2017,1,Import,842,USA,156,China,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",759521454,4
H5,2017,2,Export,842,USA,156,China,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",40476352,0
H5,2017,3,Re-Export,842,USA,156,China,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",997734,0
H5,2017,1,Import,842,USA,156,China,17,Sugars and sugar confectionery,170506593,4
H5,2017,2,Export,842,USA,156,China,17,Sugars and sugar confectionery,79086346,0
H5,2017,3,Re-Export,842,USA,156,China,17,Sugars and sugar confectionery,753664,0
H5,2017,1,Import,842,USA,156,China,18,Cocoa and cocoa preparations,35317585,4
H5,2017,2,Export,842,USA,156,China,18,Cocoa and cocoa preparations,27596683,0
H5,2017,3,Re-Export,842,USA,156,China,18,Cocoa and cocoa preparations,209061,0
H5,2017,1,Import,842,USA,156,China,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",223566400,4
H5,2017,2,Export,842,USA,156,China,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",89330524,0
H5,2017,3,Re-Export,842,USA,156,China,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",835979,0
H5,2017,1,Import,842,USA,156,China,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1236874270,4
H5,2017,2,Export,842,USA,156,China,20,"Preparations of vegetables, fruit, nuts or other parts of plants",232384815,4
H5,2017,3,Re-Export,842,USA,156,China,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1531536,0
H5,2017,1,Import,842,USA,156,China,21,Miscellaneous edible preparations,351436606,4
H5,2017,2,Export,842,USA,156,China,21,Miscellaneous edible preparations,198521386,0
H5,2017,3,Re-Export,842,USA,156,China,21,Miscellaneous edible preparations,12527351,0
H5,2017,1,Import,842,USA,156,China,22,"Beverages, spirits and vinegar",78162135,4
H5,2017,2,Export,842,USA,156,China,22,"Beverages, spirits and vinegar",184012561,4
H5,2017,3,Re-Export,842,USA,156,China,22,"Beverages, spirits and vinegar",1773054,0
H5,2017,1,Import,842,USA,156,China,23,"Food industries, residues and wastes thereof; prepared animal fodder",289173324,4
H5,2017,2,Export,842,USA,156,China,23,"Food industries, residues and wastes thereof; prepared animal fodder",414124032,4
H5,2017,3,Re-Export,842,USA,156,China,23,"Food industries, residues and wastes thereof; prepared animal fodder",379908,0
H5,2017,1,Import,842,USA,156,China,24,Tobacco and manufactured tobacco substitutes,30697187,4
H5,2017,2,Export,842,USA,156,China,24,Tobacco and manufactured tobacco substitutes,162683352,4
H5,2017,3,Re-Export,842,USA,156,China,24,Tobacco and manufactured tobacco substitutes,26651,0
H5,2017,1,Import,842,USA,156,China,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",478336583,4
H5,2017,2,Export,842,USA,156,China,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",357218495,4
H5,2017,3,Re-Export,842,USA,156,China,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",394877,0
H5,2017,1,Import,842,USA,156,China,26,"Ores, slag and ash",59971580,4
H5,2017,2,Export,842,USA,156,China,26,"Ores, slag and ash",1075672112,4
H5,2017,3,Re-Export,842,USA,156,China,26,"Ores, slag and ash",427998,0
H5,2017,1,Import,842,USA,156,China,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",680553347,4
H5,2017,2,Export,842,USA,156,China,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",8572094620,4
H5,2017,3,Re-Export,842,USA,156,China,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",103733914,0
H5,2017,1,Import,842,USA,156,China,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",1458351184,4
H5,2017,2,Export,842,USA,156,China,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",790106061,4
H5,2017,3,Re-Export,842,USA,156,China,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",18617572,0
H5,2017,1,Import,842,USA,156,China,29,Organic chemicals,8039315794,4
H5,2017,2,Export,842,USA,156,China,29,Organic chemicals,2809762468,4
H5,2017,3,Re-Export,842,USA,156,China,29,Organic chemicals,40208526,0
H5,2017,1,Import,842,USA,156,China,30,Pharmaceutical products,1487339208,4
H5,2017,2,Export,842,USA,156,China,30,Pharmaceutical products,2448913700,4
H5,2017,3,Re-Export,842,USA,156,China,30,Pharmaceutical products,359920201,0
H5,2017,1,Import,842,USA,156,China,31,Fertilizers,188122324,4
H5,2017,2,Export,842,USA,156,China,31,Fertilizers,103354646,4
H5,2017,3,Re-Export,842,USA,156,China,31,Fertilizers,61774351,0
H5,2017,1,Import,842,USA,156,China,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",555938731,4
H5,2017,2,Export,842,USA,156,China,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",457213127,4
H5,2017,3,Re-Export,842,USA,156,China,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",3213598,0
H5,2017,1,Import,842,USA,156,China,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1555989081,4
H5,2017,2,Export,842,USA,156,China,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",523700582,4
H5,2017,3,Re-Export,842,USA,156,China,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",21770449,0
H5,2017,1,Import,842,USA,156,China,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",499540294,4
H5,2017,2,Export,842,USA,156,China,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",622905996,4
H5,2017,3,Re-Export,842,USA,156,China,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",4414402,0
H5,2017,1,Import,842,USA,156,China,35,Albuminoidal substances; modified starches; glues; enzymes,371875163,4
H5,2017,2,Export,842,USA,156,China,35,Albuminoidal substances; modified starches; glues; enzymes,317320364,0
H5,2017,3,Re-Export,842,USA,156,China,35,Albuminoidal substances; modified starches; glues; enzymes,7619897,0
H5,2017,1,Import,842,USA,156,China,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,368697075,4
H5,2017,2,Export,842,USA,156,China,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,63443804,4
H5,2017,3,Re-Export,842,USA,156,China,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,227651,0
H5,2017,1,Import,842,USA,156,China,37,Photographic or cinematographic goods,39099111,4
H5,2017,2,Export,842,USA,156,China,37,Photographic or cinematographic goods,571300636,4
H5,2017,3,Re-Export,842,USA,156,China,37,Photographic or cinematographic goods,15626444,0
H5,2017,1,Import,842,USA,156,China,38,Chemical products n.e.c.,1225893664,4
H5,2017,2,Export,842,USA,156,China,38,Chemical products n.e.c.,2445443098,4
H5,2017,3,Re-Export,842,USA,156,China,38,Chemical products n.e.c.,50625778,0
H5,2017,1,Import,842,USA,156,China,39,Plastics and articles thereof,17565122413,4
H5,2017,2,Export,842,USA,156,China,39,Plastics and articles thereof,5660241898,4
H5,2017,3,Re-Export,842,USA,156,China,39,Plastics and articles thereof,121796887,0
H5,2017,1,Import,842,USA,156,China,40,Rubber and articles thereof,3735084352,4
H5,2017,2,Export,842,USA,156,China,40,Rubber and articles thereof,708598579,4
H5,2017,3,Re-Export,842,USA,156,China,40,Rubber and articles thereof,30937212,0
H5,2017,1,Import,842,USA,156,China,41,Raw hides and skins (other than furskins) and leather,28058093,4
H5,2017,2,Export,842,USA,156,China,41,Raw hides and skins (other than furskins) and leather,1131883940,4
H5,2017,3,Re-Export,842,USA,156,China,41,Raw hides and skins (other than furskins) and leather,4888342,0
H5,2017,1,Import,842,USA,156,China,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",7716386559,4
H5,2017,2,Export,842,USA,156,China,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",77875007,4
H5,2017,3,Re-Export,842,USA,156,China,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",26798881,0
H5,2017,1,Import,842,USA,156,China,43,Furskins and artificial fur; manufactures thereof,80370364,4
H5,2017,2,Export,842,USA,156,China,43,Furskins and artificial fur; manufactures thereof,58402848,4
H5,2017,3,Re-Export,842,USA,156,China,43,Furskins and artificial fur; manufactures thereof,11613581,0
H5,2017,1,Import,842,USA,156,China,44,Wood and articles of wood; wood charcoal,4275231621,4
H5,2017,2,Export,842,USA,156,China,44,Wood and articles of wood; wood charcoal,3198277328,4
H5,2017,3,Re-Export,842,USA,156,China,44,Wood and articles of wood; wood charcoal,4505286,0
H5,2017,1,Import,842,USA,156,China,45,Cork and articles of cork,27901231,4
H5,2017,2,Export,842,USA,156,China,45,Cork and articles of cork,561968,4
H5,2017,3,Re-Export,842,USA,156,China,45,Cork and articles of cork,7434,0
H5,2017,1,Import,842,USA,156,China,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",337982570,4
H5,2017,2,Export,842,USA,156,China,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",819978,4
H5,2017,3,Re-Export,842,USA,156,China,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",637282,0
H5,2017,1,Import,842,USA,156,China,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,8144793,4
H5,2017,2,Export,842,USA,156,China,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,3358016933,4
H5,2017,3,Re-Export,842,USA,156,China,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,364341,0
H5,2017,1,Import,842,USA,156,China,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",3593322595,4
H5,2017,2,Export,842,USA,156,China,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",776485217,4
H5,2017,3,Re-Export,842,USA,156,China,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",8115737,0
H5,2017,1,Import,842,USA,156,China,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",2300322034,4
